Canal,Energía (keV),Cuentas
1586,777.57,12
1587,778.05,24
1588,778.53,8
1589,779.02,19
1590,779.5,18
1591,779.98,19
1592,780.47,10
1593,780.95,14
1594,781.43,20
1595,781.92,20
1596,782.4,17
1597,782.88,18
1598,783.36,17
1599,783.85,15
1600,784.33,15
1601,784.81,22
1602,785.3,16
1603,785.78,11
1604,786.26,19
1605,786.75,18
1606,787.23,14
1607,787.71,25
1608,788.19,15
1609,788.68,19
1610,789.16,16
1611,789.64,23
1612,790.13,16
1613,790.61,18
1614,791.09,23
1615,791.58,22
1616,792.06,15
1617,792.54,21
1618,793.02,23
1619,793.51,14
1620,793.99,21
1621,794.47,24
1622,794.96,18
1623,795.44,13
1624,795.92,20
1625,796.41,12
1626,796.89,12
1627,797.37,20
1628,797.86,17
1629,798.34,14
1630,798.82,16
1631,799.3,19
1632,799.79,15
1633,800.27,13
1634,800.75,16
1635,801.24,15
1636,801.72,19
1637,802.2,15
1638,802.69,13
1639,803.17,25
1640,803.65,16
1641,804.13,16
1642,804.62,18
1643,805.1,18
1644,805.58,13
1645,806.07,19
1646,806.55,18
1647,807.03,17
1648,807.52,18
1649,808.0,34
1650,808.48,16
1651,808.96,14
1652,809.45,15
1653,809.93,16
1654,810.41,14
1655,810.9,24
1656,811.38,15
1657,811.86,14
1658,812.35,18
