Canal,Energía (keV),Cuentas,Eficiencia
411,210.07,136,0.015407361205078641
412,210.55,141,0.015371751964536794
413,211.03,142,0.015336308021334417
414,211.52,156,0.015300294971638302
415,212.0,126,0.015265181581137493
416,212.48,124,0.015230230059445862
417,212.96,112,0.015195439292461012
418,213.44,110,0.015160808176258391
419,213.93,126,0.01512561911691932
420,214.41,110,0.015091307299873773
421,214.89,139,0.015057151859481217
422,215.37,146,0.015023151731587915
423,215.85,121,0.014989305861652447
424,216.34,115,0.014954912896065787
425,216.82,126,0.01492137557574601
426,217.3,144,0.0148879893850757
427,217.78,138,0.014854753307086403
428,218.26,137,0.014821666333893655
429,218.75,136,0.014788042807997755
430,219.23,110,0.014755254111026569
431,219.71,113,0.014722611528349356
432,220.19,103,0.014690114087600669
433,220.67,123,0.014657760825005172
434,221.15,110,0.014625550785283234
435,221.64,138,0.014592816449326708
436,222.12,118,0.014560892957638742
437,222.6,112,0.01452910985373722
438,223.08,127,0.014497466215573143
439,223.56,118,0.014465961129137114
440,224.05,95,0.014433941657255471
441,224.53,121,0.014402713803381192
442,225.01,111,0.014371621788109246
443,225.49,113,0.014340664728886694
444,225.97,116,0.014309841750773114
445,226.46,112,0.01427851402664622
446,226.94,120,0.014247959364250452
447,227.42,115,0.014217536185321657
448,227.9,121,0.014187243644714012
449,228.38,109,0.014157080904494149
450,228.87,105,0.014126422795818619
451,229.35,127,0.014096519832038492
452,229.83,118,0.014066744180418072
453,230.31,102,0.014037095031260723
454,230.79,125,0.014007571581707227
455,231.27,102,0.013978173035663859
456,231.76,122,0.013948290033904097
457,232.24,106,0.013919141494433965
458,232.72,135,0.013890115493978339
459,233.2,130,0.013861211262938931
460,233.68,99,0.013832428038135267
461,234.17,130,0.013803169190724187
462,234.65,111,0.013774628195813297
463,235.13,94,0.013746205940000998
464,235.61,116,0.013717901685247778
465,236.09,126,0.01368971469960573
466,236.58,107,0.013661060690387031
467,237.06,115,0.013633108476547886
468,237.54,129,0.013605271357089166
469,238.02,135,0.013577548623931549
470,238.5,152,0.013549939574780543
471,238.98,148,0.013522443513067615
472,239.47,111,0.01349449044199113
473,239.95,98,0.013467220606049386
474,240.43,117,0.01344006168751517
475,240.91,93,0.013413013012263166
476,241.39,112,0.013386073911609142
477,241.88,110,0.013358685913382642
478,242.36,118,0.013331966225682194
479,242.84,114,0.013305354125087532
480,243.32,103,0.01327884896424649
481,243.8,102,0.013252450100979746
482,244.29,94,0.013225610242196685
483,244.77,100,0.01319942424938589
484,245.25,88,0.013173342645128766
485,245.73,94,0.013147364807532182
486,246.21,105,0.013121490119623554
487,246.7,105,0.013095182135497575
488,247.18,86,0.013069514032612235
489,247.66,102,0.013043947245036677
490,248.14,95,0.013018481175099366
491,248.62,94,0.012993115229811558
492,249.1,103,0.012967848820821505
493,249.59,97,0.012942158090432943
494,250.07,93,0.012917091050623825
495,250.55,120,0.012892121797505263
496,251.03,106,0.012867249760919897
497,251.51,91,0.012842474375125888
498,252.0,100,0.012817281944533212
499,252.48,102,0.012792700164911516
500,252.96,71,0.01276821335345509
501,253.44,92,0.01274382096175128
502,253.92,86,0.012719522445593994
503,254.41,99,0.01269481397900067
504,254.89,73,0.012670703525599349
505,255.37,91,0.012646685328929541
506,255.85,74,0.0126227588612979
507,256.33,99,0.012598923599020586
508,256.82,104,0.01257468530432591
509,257.3,79,0.01255103277063566
510,257.78,98,0.012527469884303697
511,258.26,109,0.01250399613738824
512,258.74,98,0.012480611025770718
513,259.22,98,0.01245731404911972
514,259.71,86,0.012433622111356964
515,260.19,82,0.012410501728934315
516,260.67,81,0.012387467992702737
517,261.15,98,0.012364520417204974
518,261.63,100,0.012341658520597008
519,262.12,86,0.012318408212704603
520,262.6,91,0.012295718002730318
521,263.08,94,0.012273112037680459
522,263.56,72,0.012250589849904792
523,264.04,106,0.012228150975201814
524,264.53,82,0.012205330080062705
525,265.01,74,0.012183058164258024
526,265.49,85,0.012160868179875058
527,265.97,93,0.012138759676262788
528,266.45,91,0.012116732206063312
529,266.94,88,0.012094328952294306
530,267.42,96,0.012072463884964014
531,267.9,75,0.012050678519349201
532,268.38,90,0.012028972421033722
533,268.86,85,0.012007345158747202
534,269.34,89,0.011985796304336709
535,269.83,88,0.011963878949129998
536,270.31,97,0.011942487249727199
537,270.79,81,0.011921172683470815
538,271.27,105,0.011899934834462347
539,271.75,94,0.011878773289782804
540,272.24,96,0.011857249159200226
541,272.72,78,0.011836240564552045
542,273.2,73,0.011815307044699448
543,273.68,80,0.011794448198437986
544,274.16,72,0.011773663627412015
545,274.65,88,0.011752522246148738
546,275.13,80,0.011731886568618491
547,275.61,92,0.011711323980004032
