Canal,Energía (keV),Cuentas
1347,662.13,18
1348,662.61,26
1349,663.09,15
1350,663.58,22
1351,664.06,21
1352,664.54,18
1353,665.03,20
1354,665.51,25
1355,665.99,13
1356,666.48,23
1357,666.96,22
1358,667.44,24
1359,667.92,29
1360,668.41,19
1361,668.89,17
1362,669.37,15
1363,669.86,15
1364,670.34,21
1365,670.82,20
1366,671.31,19
1367,671.79,20
1368,672.27,22
1369,672.75,28
1370,673.24,18
1371,673.72,26
1372,674.2,16
1373,674.69,21
1374,675.17,19
1375,675.65,21
1376,676.14,14
1377,676.62,23
1378,677.1,12
1379,677.58,24
1380,678.07,19
1381,678.55,24
1382,679.03,25
1383,679.52,19
1384,680.0,16
1385,680.48,19
1386,680.97,25
1387,681.45,20
1388,681.93,16
1389,682.41,18
1390,682.9,23
1391,683.38,18
1392,683.86,16
1393,684.35,16
1394,684.83,21
1395,685.31,17
1396,685.8,17
1397,686.28,13
1398,686.76,27
1399,687.24,20
1400,687.73,26
1401,688.21,20
1402,688.69,28
1403,689.18,10
1404,689.66,11
1405,690.14,16
1406,690.63,18
1407,691.11,14
1408,691.59,20
1409,692.08,31
1410,692.56,19
1411,693.04,14
1412,693.52,26
1413,694.01,8
1414,694.49,21
1415,694.97,14
1416,695.46,23
1417,695.94,17
1418,696.42,11
1419,696.91,14
1420,697.39,16
1421,697.87,19
1422,698.35,15
1423,698.84,21
1424,699.32,25
1425,699.8,23
1426,700.29,27
1427,700.77,19
1428,701.25,18
1429,701.74,11
1430,702.22,27
1431,702.7,23
1432,703.18,24
1433,703.67,20
1434,704.15,10
1435,704.63,15
1436,705.12,22
1437,705.6,17
1438,706.08,20
1439,706.57,16
1440,707.05,18
1441,707.53,18
1442,708.01,13
1443,708.5,16
1444,708.98,16
1445,709.46,10
1446,709.95,18
1447,710.43,21
1448,710.91,16
1449,711.4,16
1450,711.88,16
1451,712.36,14
1452,712.84,24
1453,713.33,21
1454,713.81,13
1455,714.29,18
1456,714.78,14
1457,715.26,14
1458,715.74,11
1459,716.23,18
1460,716.71,19
1461,717.19,18
1462,717.67,18
1463,718.16,17
1464,718.64,16
1465,719.12,19
1466,719.61,16
1467,720.09,19
1468,720.57,19
1469,721.06,24
1470,721.54,11
1471,722.02,20
1472,722.5,9
1473,722.99,9
1474,723.47,15
1475,723.95,11
1476,724.44,22
1477,724.92,18
1478,725.4,20
1479,725.89,17
1480,726.37,19
1481,726.85,18
1482,727.34,13
1483,727.82,17
1484,728.3,16
1485,728.78,12
1486,729.27,9
1487,729.75,18
1488,730.23,10
1489,730.72,14
1490,731.2,12
1491,731.68,17
1492,732.17,22
1493,732.65,14
1494,733.13,13
1495,733.61,22
1496,734.1,14
1497,734.58,10
1498,735.06,17
1499,735.55,17
1500,736.03,22
1501,736.51,15
1502,737.0,23
1503,737.48,16
1504,737.96,22
1505,738.44,22
1506,738.93,13
1507,739.41,26
1508,739.89,15
1509,740.38,29
1510,740.86,26
1511,741.34,21
1512,741.83,17
1513,742.31,24
1514,742.79,21
1515,743.27,12
1516,743.76,14
1517,744.24,16
1518,744.72,17
1519,745.21,13
1520,745.69,10
1521,746.17,25
1522,746.66,19
1523,747.14,11
1524,747.62,9
1525,748.1,22
1526,748.59,17
1527,749.07,18
1528,749.55,23
1529,750.04,18
1530,750.52,16
1531,751.0,14
1532,751.49,19
1533,751.97,17
1534,752.45,18
1535,752.93,15
1536,753.42,16
1537,753.9,15
1538,754.38,17
1539,754.87,16
1540,755.35,26
1541,755.83,23
1542,756.32,12
1543,756.8,17
1544,757.28,13
1545,757.76,15
1546,758.25,19
1547,758.73,22
1548,759.21,18
1549,759.7,16
1550,760.18,15
1551,760.66,15
1552,761.15,12
1553,761.63,22
1554,762.11,20
1555,762.6,16
1556,763.08,5
1557,763.56,12
1558,764.04,13
1559,764.53,20
1560,765.01,16
1561,765.49,16
1562,765.98,21
1563,766.46,28
1564,766.94,16
1565,767.43,19
1566,767.91,19
1567,768.39,24
1568,768.87,17
1569,769.36,14
1570,769.84,14
1571,770.32,10
1572,770.81,14
1573,771.29,14
1574,771.77,14
1575,772.26,12
1576,772.74,19
1577,773.22,16
1578,773.7,19
1579,774.19,10
1580,774.67,22
1581,775.15,21
1582,775.64,23
1583,776.12,9
1584,776.6,14
1585,777.09,13
1586,777.57,21
1587,778.05,25
1588,778.53,23
1589,779.02,14
1590,779.5,15
1591,779.98,10
1592,780.47,17
1593,780.95,13
