Canal,Energía (keV),Cuentas
1339,657.27,21
1340,657.76,17
1341,658.24,17
1342,658.72,18
1343,659.2,19
1344,659.68,18
1345,660.17,28
1346,660.65,26
1347,661.13,26
1348,661.61,15
1349,662.09,22
1350,662.58,22
1351,663.06,20
1352,663.54,26
1353,664.02,20
1354,664.5,21
1355,664.98,15
1356,665.47,28
1357,665.95,20
1358,666.43,25
1359,666.91,20
1360,667.39,17
1361,667.88,14
1362,668.36,17
1363,668.84,23
1364,669.32,18
1365,669.8,14
1366,670.29,25
1367,670.77,17
1368,671.25,25
1369,671.73,20
1370,672.21,18
1371,672.69,19
1372,673.18,22
1373,673.66,27
1374,674.14,19
1375,674.62,15
1376,675.1,17
1377,675.59,19
1378,676.07,18
1379,676.55,18
1380,677.03,15
1381,677.51,27
1382,678.0,16
1383,678.48,19
1384,678.96,22
1385,679.44,15
1386,679.92,18
1387,680.41,17
1388,680.89,29
1389,681.37,20
1390,681.85,16
1391,682.33,18
1392,682.81,12
1393,683.3,13
1394,683.78,16
1395,684.26,19
1396,684.74,13
1397,685.22,8
1398,685.71,27
1399,686.19,21
1400,686.67,16
1401,687.15,16
1402,687.63,18
1403,688.12,13
1404,688.6,20
1405,689.08,24
1406,689.56,20
1407,690.04,17
1408,690.53,15
1409,691.01,22
1410,691.49,22
1411,691.97,20
1412,692.45,18
1413,692.93,11
1414,693.42,22
1415,693.9,14
1416,694.38,20
1417,694.86,16
1418,695.34,22
1419,695.83,16
1420,696.31,11
1421,696.79,20
1422,697.27,18
1423,697.75,16
1424,698.24,21
1425,698.72,14
1426,699.2,21
1427,699.68,17
1428,700.16,19
1429,700.65,16
1430,701.13,23
1431,701.61,14
1432,702.09,20
1433,702.57,18
1434,703.05,17
1435,703.54,15
1436,704.02,19
1437,704.5,17
1438,704.98,11
1439,705.46,20
1440,705.95,12
1441,706.43,12
1442,706.91,22
1443,707.39,25
1444,707.87,17
1445,708.36,16
1446,708.84,16
1447,709.32,20
1448,709.8,20
1449,710.28,16
1450,710.77,19
1451,711.25,21
1452,711.73,18
1453,712.21,21
1454,712.69,18
1455,713.17,15
1456,713.66,17
1457,714.14,23
1458,714.62,16
1459,715.1,16
1460,715.58,20
1461,716.07,18
1462,716.55,12
1463,717.03,14
1464,717.51,18
1465,717.99,22
1466,718.48,21
1467,718.96,13
1468,719.44,15
1469,719.92,20
1470,720.4,23
1471,720.88,18
1472,721.37,7
1473,721.85,24
1474,722.33,17
1475,722.81,16
1476,723.29,17
1477,723.78,16
1478,724.26,18
1479,724.74,15
1480,725.22,16
1481,725.7,17
1482,726.19,27
1483,726.67,16
1484,727.15,15
1485,727.63,20
1486,728.11,17
1487,728.6,19
1488,729.08,22
1489,729.56,20
1490,730.04,23
1491,730.52,16
1492,731.0,13
1493,731.49,25
1494,731.97,16
1495,732.45,15
1496,732.93,20
1497,733.41,19
1498,733.9,23
1499,734.38,16
1500,734.86,15
1501,735.34,18
1502,735.82,28
1503,736.31,20
1504,736.79,21
1505,737.27,21
1506,737.75,16
1507,738.23,17
1508,738.72,15
1509,739.2,15
1510,739.68,20
1511,740.16,19
1512,740.64,19
1513,741.12,16
1514,741.61,24
1515,742.09,19
1516,742.57,27
1517,743.05,14
1518,743.53,19
1519,744.02,19
1520,744.5,22
1521,744.98,18
1522,745.46,12
1523,745.94,18
1524,746.43,24
1525,746.91,15
1526,747.39,20
1527,747.87,15
1528,748.35,18
1529,748.84,20
1530,749.32,16
1531,749.8,13
1532,750.28,22
1533,750.76,15
1534,751.24,18
1535,751.73,14
1536,752.21,15
1537,752.69,13
1538,753.17,20
1539,753.65,8
1540,754.14,18
1541,754.62,18
1542,755.1,17
1543,755.58,10
1544,756.06,20
1545,756.55,19
1546,757.03,16
1547,757.51,16
1548,757.99,15
1549,758.47,23
1550,758.96,18
1551,759.44,13
1552,759.92,19
1553,760.4,16
1554,760.88,15
1555,761.36,28
1556,761.85,18
1557,762.33,17
1558,762.81,12
1559,763.29,15
1560,763.77,15
1561,764.26,13
1562,764.74,24
1563,765.22,12
1564,765.7,24
1565,766.18,18
1566,766.67,21
1567,767.15,14
1568,767.63,22
1569,768.11,17
1570,768.59,8
1571,769.07,22
1572,769.56,19
1573,770.04,14
1574,770.52,14
1575,771.0,15
1576,771.48,17
1577,771.97,21
1578,772.45,15
1579,772.93,19
1580,773.41,23
1581,773.89,12
1582,774.38,17
1583,774.86,16
1584,775.34,19
1585,775.82,18
1586,776.3,18
1587,776.79,13
1588,777.27,15
1589,777.75,24
1590,778.23,17
1591,778.71,18
1592,779.19,17
1593,779.68,11
1594,780.16,19
1595,780.64,15
1596,781.12,11
1597,781.6,23
1598,782.09,14
1599,782.57,16
1600,783.05,18
1601,783.53,11
1602,784.01,15
1603,784.5,16
1604,784.98,17
1605,785.46,20
1606,785.94,14
1607,786.42,14
1608,786.91,14
1609,787.39,21
1610,787.87,14
1611,788.35,9
1612,788.83,19
1613,789.31,22
1614,789.8,19
1615,790.28,18
1616,790.76,14
1617,791.24,17
1618,791.72,13
1619,792.21,8
1620,792.69,17
1621,793.17,15
1622,793.65,16
1623,794.13,19
1624,794.62,16
1625,795.1,21
1626,795.58,11
1627,796.06,22
1628,796.54,17
1629,797.03,9
1630,797.51,17
1631,797.99,9
1632,798.47,14
1633,798.95,19
1634,799.43,18
1635,799.92,17
1636,800.4,9
1637,800.88,17
1638,801.36,15
1639,801.84,9
1640,802.33,12
1641,802.81,15
1642,803.29,16
1643,803.77,16
1644,804.25,19
1645,804.74,11
1646,805.22,18
1647,805.7,17
1648,806.18,7
1649,806.66,25
1650,807.15,18
1651,807.63,14
1652,808.11,19
1653,808.59,13
1654,809.07,14
1655,809.55,11
1656,810.04,20
1657,810.52,7
1658,811.0,20
