Canal,Energía (keV),Cuentas
846,419.7,38
847,420.18,48
848,420.66,37
849,421.14,38
850,421.63,40
851,422.11,35
852,422.59,46
853,423.07,34
854,423.55,43
855,424.03,40
856,424.52,38
857,425.0,37
858,425.48,32
859,425.96,34
860,426.44,36
861,426.93,28
862,427.41,32
863,427.89,32
864,428.37,38
865,428.85,51
866,429.34,40
867,429.82,40
868,430.3,40
869,430.78,39
870,431.26,33
871,431.74,44
872,432.23,40
873,432.71,45
874,433.19,27
875,433.67,43
876,434.15,42
877,434.64,37
878,435.12,45
879,435.6,44
880,436.08,35
881,436.56,37
882,437.05,36
883,437.53,47
884,438.01,33
885,438.49,45
886,438.97,43
887,439.46,32
888,439.94,45
889,440.42,32
890,440.9,40
891,441.38,43
892,441.86,38
893,442.35,40
894,442.83,42
895,443.31,37
896,443.79,36
897,444.27,33
898,444.76,34
899,445.24,33
900,445.72,42
901,446.2,45
902,446.68,48
903,447.17,47
904,447.65,32
905,448.13,34
906,448.61,44
907,449.09,41
908,449.58,32
909,450.06,30
910,450.54,42
911,451.02,39
912,451.5,35
913,451.98,37
914,452.47,25
915,452.95,35
916,453.43,32
917,453.91,39
918,454.39,26
919,454.88,42
920,455.36,29
921,455.84,48
922,456.32,41
923,456.8,31
924,457.29,34
925,457.77,45
926,458.25,37
927,458.73,35
928,459.21,36
929,459.7,39
930,460.18,35
931,460.66,43
932,461.14,35
933,461.62,38
934,462.1,36
935,462.59,41
936,463.07,34
937,463.55,32
938,464.03,29
939,464.51,23
940,465.0,29
941,465.48,39
942,465.96,40
943,466.44,32
944,466.92,49
945,467.41,30
946,467.89,36
947,468.37,36
948,468.85,37
949,469.33,34
950,469.82,39
951,470.3,25
952,470.78,25
953,471.26,33
954,471.74,34
955,472.22,32
956,472.71,33
957,473.19,33
958,473.67,40
959,474.15,37
960,474.63,42
961,475.12,37
962,475.6,34
963,476.08,30
964,476.56,32
965,477.04,37
966,477.53,38
967,478.01,49
968,478.49,41
969,478.97,35
970,479.45,19
971,479.93,41
972,480.42,35
973,480.9,47
974,481.38,30
975,481.86,37
976,482.34,28
977,482.83,39
978,483.31,30
979,483.79,29
980,484.27,33
981,484.75,33
982,485.24,28
983,485.72,34
984,486.2,35
985,486.68,36
986,487.16,27
987,487.65,30
988,488.13,23
989,488.61,27
990,489.09,29
991,489.57,36
992,490.05,30
993,490.54,22
994,491.02,40
995,491.5,23
996,491.98,26
997,492.46,31
998,492.95,31
999,493.43,36
1000,493.91,32
1001,494.39,33
1002,494.87,37
1003,495.36,32
1004,495.84,28
1005,496.32,40
1006,496.8,36
1007,497.28,39
1008,497.77,25
1009,498.25,25
1010,498.73,34
1011,499.21,42
1012,499.69,43
1013,500.17,30
1014,500.66,41
1015,501.14,32
1016,501.62,28
1017,502.1,32
1018,502.58,29
1019,503.07,31
1020,503.55,43
1021,504.03,32
1022,504.51,43
1023,504.99,32
1024,505.48,40
1025,505.96,33
1026,506.44,25
1027,506.92,33
1028,507.4,27
1029,507.89,40
1030,508.37,45
1031,508.85,59
1032,509.33,67
1033,509.81,75
1034,510.29,106
1035,510.78,91
1036,511.26,97
1037,511.74,94
1038,512.22,74
1039,512.7,56
1040,513.19,46
1041,513.67,42
1042,514.15,37
1043,514.63,40
1044,515.11,35
1045,515.6,31
1046,516.08,23
1047,516.56,30
1048,517.04,21
1049,517.52,30
1050,518.01,28
1051,518.49,29
1052,518.97,27
1053,519.45,33
1054,519.93,33
1055,520.41,34
1056,520.9,23
1057,521.38,25
1058,521.86,31
1059,522.34,37
1060,522.82,23
1061,523.31,29
1062,523.79,24
1063,524.27,29
1064,524.75,41
1065,525.23,30
1066,525.72,33
1067,526.2,26
1068,526.68,22
1069,527.16,26
1070,527.64,27
1071,528.12,30
1072,528.61,24
1073,529.09,27
1074,529.57,34
1075,530.05,28
1076,530.53,20
1077,531.02,23
1078,531.5,27
1079,531.98,16
1080,532.46,23
1081,532.94,24
1082,533.43,24
1083,533.91,17
1084,534.39,35
1085,534.87,28
1086,535.35,12
1087,535.84,28
1088,536.32,19
1089,536.8,33
1090,537.28,26
1091,537.76,34
1092,538.24,31
1093,538.73,33
1094,539.21,23
1095,539.69,34
1096,540.17,34
1097,540.65,24
1098,541.14,22
1099,541.62,22
1100,542.1,21
1101,542.58,30
1102,543.06,27
1103,543.55,28
1104,544.03,24
1105,544.51,34
1106,544.99,33
1107,545.47,20
1108,545.96,26
1109,546.44,31
1110,546.92,29
1111,547.4,25
1112,547.88,25
1113,548.36,32
1114,548.85,22
1115,549.33,28
1116,549.81,32
1117,550.29,31
1118,550.77,28
1119,551.26,28
1120,551.74,24
1121,552.22,32
1122,552.7,28
1123,553.18,27
1124,553.67,21
1125,554.15,30
1126,554.63,21
1127,555.11,24
1128,555.59,31
1129,556.08,25
1130,556.56,25
1131,557.04,23
1132,557.52,32
1133,558.0,21
1134,558.48,29
1135,558.97,32
1136,559.45,25
1137,559.93,28
1138,560.41,31
1139,560.89,28
1140,561.38,30
1141,561.86,22
1142,562.34,22
1143,562.82,24
1144,563.3,27
1145,563.79,20
1146,564.27,24
1147,564.75,31
1148,565.23,21
1149,565.71,27
1150,566.2,24
1151,566.68,24
1152,567.16,22
1153,567.64,26
1154,568.12,29
1155,568.6,20
1156,569.09,30
1157,569.57,32
1158,570.05,35
1159,570.53,20
1160,571.01,15
1161,571.5,16
1162,571.98,29
1163,572.46,22
1164,572.94,30
1165,573.42,21
1166,573.91,30
1167,574.39,25
1168,574.87,24
1169,575.35,24
1170,575.83,22
1171,576.31,14
1172,576.8,27
1173,577.28,33
1174,577.76,25
1175,578.24,21
1176,578.72,22
1177,579.21,25
1178,579.69,27
1179,580.17,22
1180,580.65,21
1181,581.13,27
1182,581.62,27
1183,582.1,41
1184,582.58,29
1185,583.06,33
1186,583.54,40
1187,584.03,25
1188,584.51,28
1189,584.99,17
1190,585.47,23
1191,585.95,21
1192,586.43,25
1193,586.92,27
1194,587.4,30
1195,587.88,24
1196,588.36,21
1197,588.84,18
1198,589.33,23
1199,589.81,16
1200,590.29,28
1201,590.77,20
1202,591.25,18
1203,591.74,21
1204,592.22,30
1205,592.7,31
1206,593.18,17
1207,593.66,19
1208,594.15,23
1209,594.63,32
1210,595.11,25
1211,595.59,16
1212,596.07,31
1213,596.55,28
1214,597.04,22
1215,597.52,18
1216,598.0,25
1217,598.48,24
1218,598.96,23
1219,599.45,23
1220,599.93,29
1221,600.41,31
1222,600.89,28
1223,601.37,24
1224,601.86,18
1225,602.34,32
1226,602.82,21
1227,603.3,24
1228,603.78,23
1229,604.27,31
1230,604.75,23
1231,605.23,25
1232,605.71,23
1233,606.19,24
1234,606.67,24
1235,607.16,22
1236,607.64,20
1237,608.12,29
1238,608.6,37
1239,609.08,43
1240,609.57,42
1241,610.05,41
1242,610.53,23
1243,611.01,31
1244,611.49,22
1245,611.98,25
1246,612.46,25
1247,612.94,19
1248,613.42,23
1249,613.9,24
1250,614.39,16
1251,614.87,27
1252,615.35,23
1253,615.83,24
1254,616.31,22
1255,616.79,25
1256,617.28,19
1257,617.76,32
1258,618.24,31
1259,618.72,17
1260,619.2,19
1261,619.69,27
1262,620.17,25
1263,620.65,21
1264,621.13,24
1265,621.61,28
1266,622.1,33
1267,622.58,20
1268,623.06,18
1269,623.54,28
1270,624.02,20
1271,624.5,27
1272,624.99,22
1273,625.47,23
1274,625.95,23
1275,626.43,23
1276,626.91,25
1277,627.4,23
1278,627.88,30
1279,628.36,18
1280,628.84,21
1281,629.32,23
1282,629.81,22
1283,630.29,25
1284,630.77,24
1285,631.25,30
1286,631.73,16
1287,632.22,21
1288,632.7,28
1289,633.18,19
1290,633.66,23
1291,634.14,13
1292,634.62,24
1293,635.11,17
1294,635.59,16
1295,636.07,14
1296,636.55,23
1297,637.03,30
1298,637.52,17
1299,638.0,23
1300,638.48,19
1301,638.96,22
1302,639.44,25
1303,639.93,19
1304,640.41,17
1305,640.89,31
1306,641.37,24
1307,641.85,25
1308,642.34,31
1309,642.82,28
1310,643.3,23
1311,643.78,22
1312,644.26,25
1313,644.74,34
1314,645.23,19
1315,645.71,16
1316,646.19,17
1317,646.67,26
1318,647.15,17
1319,647.64,22
1320,648.12,16
1321,648.6,25
1322,649.08,16
1323,649.56,25
1324,650.05,23
1325,650.53,15
1326,651.01,27
1327,651.49,24
1328,651.97,23
1329,652.46,21
1330,652.94,26
1331,653.42,23
1332,653.9,26
1333,654.38,18
1334,654.86,25
1335,655.35,17
1336,655.83,17
1337,656.31,25
1338,656.79,17
1339,657.27,27
1340,657.76,22
1341,658.24,20
1342,658.72,19
1343,659.2,20
1344,659.68,24
1345,660.17,14
1346,660.65,17
1347,661.13,19
1348,661.61,31
1349,662.09,25
1350,662.58,17
1351,663.06,20
1352,663.54,22
1353,664.02,19
1354,664.5,16
1355,664.98,24
1356,665.47,23
1357,665.95,24
1358,666.43,22
1359,666.91,18
1360,667.39,28
1361,667.88,20
1362,668.36,21
1363,668.84,22
1364,669.32,16
1365,669.8,22
1366,670.29,26
1367,670.77,23
1368,671.25,22
1369,671.73,23
1370,672.21,20
1371,672.69,16
1372,673.18,21
1373,673.66,26
1374,674.14,15
1375,674.62,24
1376,675.1,17
1377,675.59,26
1378,676.07,25
1379,676.55,20
1380,677.03,15
1381,677.51,18
1382,678.0,22
1383,678.48,34
1384,678.96,24
1385,679.44,20
1386,679.92,20
1387,680.41,22
1388,680.89,23
1389,681.37,18
1390,681.85,13
1391,682.33,17
1392,682.81,27
1393,683.3,28
1394,683.78,19
1395,684.26,27
1396,684.74,21
1397,685.22,22
1398,685.71,26
1399,686.19,22
1400,686.67,22
1401,687.15,16
1402,687.63,15
1403,688.12,18
1404,688.6,20
1405,689.08,32
1406,689.56,30
1407,690.04,24
1408,690.53,19
1409,691.01,17
1410,691.49,25
1411,691.97,19
1412,692.45,22
1413,692.93,14
1414,693.42,20
1415,693.9,14
1416,694.38,29
1417,694.86,27
1418,695.34,13
1419,695.83,22
1420,696.31,18
1421,696.79,35
1422,697.27,16
1423,697.75,20
1424,698.24,17
1425,698.72,20
1426,699.2,27
1427,699.68,20
1428,700.16,22
1429,700.65,22
1430,701.13,18
1431,701.61,27
1432,702.09,21
1433,702.57,23
1434,703.05,23
1435,703.54,24
1436,704.02,19
1437,704.5,14
1438,704.98,16
1439,705.46,35
1440,705.95,23
1441,706.43,17
1442,706.91,19
1443,707.39,29
1444,707.87,17
1445,708.36,24
1446,708.84,28
1447,709.32,21
1448,709.8,17
1449,710.28,33
1450,710.77,15
1451,711.25,22
1452,711.73,19
1453,712.21,15
1454,712.69,15
1455,713.17,16
1456,713.66,18
1457,714.14,19
1458,714.62,19
1459,715.1,18
1460,715.58,24
1461,716.07,25
1462,716.55,19
1463,717.03,22
1464,717.51,22
1465,717.99,25
1466,718.48,16
1467,718.96,23
1468,719.44,19
1469,719.92,21
1470,720.4,17
1471,720.88,20
1472,721.37,26
1473,721.85,12
1474,722.33,23
1475,722.81,19
1476,723.29,15
1477,723.78,12
1478,724.26,21
1479,724.74,17
1480,725.22,23
1481,725.7,13
1482,726.19,18
1483,726.67,24
1484,727.15,22
1485,727.63,15
1486,728.11,21
1487,728.6,15
1488,729.08,22
1489,729.56,16
1490,730.04,24
1491,730.52,13
1492,731.0,15
1493,731.49,24
1494,731.97,16
1495,732.45,24
1496,732.93,13
1497,733.41,20
1498,733.9,21
1499,734.38,13
1500,734.86,23
1501,735.34,18
1502,735.82,11
1503,736.31,19
1504,736.79,18
1505,737.27,20
1506,737.75,20
1507,738.23,22
1508,738.72,16
1509,739.2,14
1510,739.68,17
1511,740.16,27
1512,740.64,19
1513,741.12,15
1514,741.61,22
1515,742.09,18
1516,742.57,19
1517,743.05,14
1518,743.53,16
1519,744.02,26
1520,744.5,19
1521,744.98,20
1522,745.46,16
1523,745.94,19
1524,746.43,25
1525,746.91,24
1526,747.39,16
1527,747.87,17
1528,748.35,13
1529,748.84,20
1530,749.32,15
1531,749.8,10
1532,750.28,23
1533,750.76,15
1534,751.24,17
1535,751.73,11
1536,752.21,14
1537,752.69,17
1538,753.17,18
1539,753.65,16
1540,754.14,20
1541,754.62,17
1542,755.1,22
1543,755.58,19
1544,756.06,16
1545,756.55,12
1546,757.03,17
1547,757.51,20
1548,757.99,20
1549,758.47,22
1550,758.96,19
1551,759.44,16
1552,759.92,25
1553,760.4,20
1554,760.88,22
1555,761.36,20
1556,761.85,19
1557,762.33,19
1558,762.81,21
1559,763.29,14
1560,763.77,12
1561,764.26,20
1562,764.74,9
1563,765.22,17
1564,765.7,21
1565,766.18,17
1566,766.67,20
1567,767.15,30
1568,767.63,11
1569,768.11,24
1570,768.59,14
1571,769.07,17
1572,769.56,20
1573,770.04,20
1574,770.52,17
1575,771.0,9
1576,771.48,16
1577,771.97,14
1578,772.45,15
1579,772.93,15
1580,773.41,23
1581,773.89,20
1582,774.38,23
1583,774.86,20
1584,775.34,20
1585,775.82,18
1586,776.3,20
1587,776.79,19
1588,777.27,13
1589,777.75,16
1590,778.23,21
1591,778.71,10
1592,779.19,18
1593,779.68,18
1594,780.16,16
1595,780.64,13
1596,781.12,14
1597,781.6,16
1598,782.09,17
1599,782.57,18
1600,783.05,18
1601,783.53,21
1602,784.01,18
1603,784.5,12
1604,784.98,19
1605,785.46,13
1606,785.94,6
1607,786.42,16
1608,786.91,26
1609,787.39,18
1610,787.87,14
1611,788.35,21
1612,788.83,15
1613,789.31,16
1614,789.8,22
1615,790.28,13
1616,790.76,18
1617,791.24,11
1618,791.72,19
1619,792.21,20
1620,792.69,18
1621,793.17,20
1622,793.65,11
1623,794.13,20
1624,794.62,14
1625,795.1,19
1626,795.58,10
1627,796.06,15
1628,796.54,14
1629,797.03,16
1630,797.51,19
1631,797.99,20
1632,798.47,17
1633,798.95,13
1634,799.43,21
1635,799.92,12
1636,800.4,17
1637,800.88,10
1638,801.36,26
1639,801.84,19
1640,802.33,14
1641,802.81,9
1642,803.29,14
1643,803.77,11
1644,804.25,14
1645,804.74,20
1646,805.22,13
1647,805.7,15
1648,806.18,28
1649,806.66,21
1650,807.15,17
1651,807.63,16
1652,808.11,29
1653,808.59,17
1654,809.07,23
1655,809.55,16
1656,810.04,14
1657,810.52,13
1658,811.0,13
