Canal,Energía (keV),Cuentas,Eficiencia
768,382.46,30,0.008434331836349007
769,382.95,48,0.008423568550473534
770,383.43,56,0.008413051928492524
771,383.91,53,0.008402561930884324
772,384.4,45,0.008391880748919134
773,384.88,48,0.008381444246967478
774,385.36,62,0.008371034065826545
775,385.84,48,0.008360650106022998
776,386.33,42,0.008350076757374241
777,386.81,52,0.008339745484943484
778,387.29,63,0.00832944013638227
779,387.78,53,0.008318946731431274
780,388.26,49,0.008308693473653938
781,388.74,47,0.008298465846756638
782,389.23,42,0.0082880514819823
783,389.71,35,0.008277875358244724
784,390.19,39,0.008267724576792162
785,390.67,37,0.008257599043043688
786,391.16,40,0.00824728850510522
787,391.64,37,0.008237213705987801
788,392.12,58,0.00822716387170172
789,392.61,47,0.008216930319978992
790,393.09,34,0.008206930652952775
791,393.57,53,0.008196955672091248
792,394.06,41,0.008186798247232206
793,394.54,41,0.008176872874680273
794,395.02,45,0.00816697191375469
795,395.5,36,0.00815709527447024
796,395.99,51,0.008147037865837321
797,396.47,59,0.008137210103676672
798,396.95,32,0.00812740639399601
799,397.44,37,0.008117423158070458
800,397.92,46,0.008107667785594868
801,398.4,56,0.008097936200391653
802,398.89,55,0.008088026319326572
803,399.37,43,0.008078342539325755
804,399.85,52,0.008068682285270993
805,400.33,40,0.008059045471497156
806,400.82,40,0.008049231980105254
807,401.3,44,0.0080396422754522
808,401.78,44,0.008030075754810507
809,402.27,49,0.008020333757943797
810,402.75,38,0.008010813832317608
811,403.23,39,0.008001316838152093
812,403.72,36,0.007991645556995282
813,404.2,48,0.007982194651187132
814,404.68,35,0.007972766427940729
815,405.17,51,0.007963165094939908
816,405.65,41,0.007953782460705631
817,406.13,54,0.007944422263720233
